Date,Y_Date,Y
12-11-2015,11-12-2015,18250.0
14-12-2015,14-12-2015,18400.0
15-12-2015,15-12-2015,18250.0
16-12-2015,16-12-2015,18150.0
17-12-2015,17-12-2015,18250.0
18-12-2015,18-12-2015,18150.0
21-12-2015,21-12-2015,18300.0
22-12-2015,22-12-2015,18450.0
23-12-2015,23-12-2015,18350.0
24-12-2015,24-12-2015,18350.0
28-12-2015,28-12-2015,18350.0
29-12-2015,29-12-2015,18350.0
30-12-2015,30-12-2015,18350.0
01-04-2016,04-01-2016,18200.0
01-05-2016,05-01-2016,18100.0
01-06-2016,06-01-2016,18450.0
01-07-2016,07-01-2016,18900.0
01-08-2016,08-01-2016,18900.0
01-11-2016,11-01-2016,19000.0
01-12-2016,12-01-2016,18850.0
13-01-2016,13-01-2016,18650.0
14-01-2016,14-01-2016,18800.0
15-01-2016,15-01-2016,18600.0
19-01-2016,18-01-2016,18800.0
20-01-2016,20-01-2016,18750.0
21-01-2016,21-01-2016,18900.0
22-01-2016,22-01-2016,18850.0
25-01-2016,25-01-2016,18750.0
26-01-2016,26-01-2016,18900.0
27-01-2016,27-01-2016,19000.0
28-01-2016,28-01-2016,19000.0
29-01-2016,29-01-2016,18900.0
02-01-2016,01-02-2016,18950.0
02-02-2016,02-02-2016,19000.0
02-03-2016,03-02-2016,19100.0
02-04-2016,04-02-2016,19250.0
02-05-2016,05-02-2016,19450.0
02-08-2016,08-02-2016,19600.0
02-09-2016,09-02-2016,20050.0
02-10-2016,10-02-2016,20000.0
02-11-2016,11-02-2016,20100.0
02-12-2016,12-02-2016,20650.0
16-02-2016,15-02-2016,20700.0
17-02-2016,17-02-2016,20300.0
18-02-2016,18-02-2016,20350.0
19-02-2016,19-02-2016,20700.0
23-02-2016,23-02-2016,20600.0
24-02-2016,24-02-2016,20750.0
25-02-2016,25-02-2016,20850.0
26-02-2016,26-02-2016,20900.0
29-02-2016,29-02-2016,20750.0
03-01-2016,01-03-2016,21000.0
03-02-2016,02-03-2016,20750.0
03-03-2016,03-03-2016,20850.0
03-04-2016,04-03-2016,21050.0
03-07-2016,07-03-2016,21150.0
03-08-2016,08-03-2016,21300.0
03-09-2016,09-03-2016,21050.0
03-10-2016,10-03-2016,20950.0
03-11-2016,11-03-2016,21300.0
14-03-2016,14-03-2016,20900.0
15-03-2016,15-03-2016,20500.0
16-03-2016,16-03-2016,20500.0
17-03-2016,17-03-2016,20700.0
18-03-2016,18-03-2016,20850.0
21-03-2016,21-03-2016,20750.0
22-03-2016,22-03-2016,20600.0
23-03-2016,23-03-2016,20600.0
24-03-2016,24-03-2016,20400.0
28-03-2016,28-03-2016,20300.0
29-03-2016,29-03-2016,20450.0
30-03-2016,30-03-2016,20700.0
31-03-2016,31-03-2016,20500.0
04-01-2016,01-04-2016,20500.0
04-04-2016,04-04-2016,20300.0
04-05-2016,05-04-2016,20500.0
04-07-2016,07-04-2016,20500.0
04-08-2016,08-04-2016,20600.0
04-11-2016,11-04-2016,20750.0
04-12-2016,12-04-2016,20800.0
18-04-2016,18-04-2016,20550.0
19-04-2016,19-04-2016,20450.0
20-04-2016,20-04-2016,20700.0
21-04-2016,21-04-2016,20700.0
22-04-2016,22-04-2016,20750.0
25-04-2016,25-04-2016,20550.0
