BVN,EUR_USD,Crude_Oil,JPY_THB,NYSE,TenBond_THB,USD_THB
7.79,1.04,102.65,0.27,15729.5,1.81,34.75
6.97,1.04,110.43,0.27,16032.7,1.79,34.58
7.8,1.06,107.58,0.27,15741.8,1.83,34.04
9.62,1.06,105.17,0.26,15694.2,1.69,34.37
9.6,1.05,102.11,0.26,16054.8,1.76,34.46
9.23,1.05,101.76,0.26,16056.9,1.78,34.34
8.85,1.06,98.64,0.27,16499.3,1.91,34.31
8.86,1.06,101.38,0.27,16761.3,1.79,34.14
9.01,1.07,104.07,0.27,16658.9,1.78,33.96
9.08,1.08,102.5,0.26,16466.2,1.78,33.91
9.72,1.08,103.05,0.26,16511.5,1.68,33.78
10.47,1.09,107.75,0.26,16690,1.66,33.8
10.39,1.08,107.03,0.26,16631.5,1.61,33.69
10.9,1.08,98.4,0.27,16830.9,1.55,33.63
11.14,1.08,97.17,0.27,16787.8,1.51,33.59
10.96,1.09,97.16,0.27,16670.9,1.51,33.49
10.26,1.09,103.66,0.27,16932.8,1.43,33.46
10.32,1.1,98.95,0.27,17014.8,1.39,33.29
10.14,1.11,101.23,0.27,16798.7,1.39,33.35
9.89,1.12,107.45,0.27,16792.8,1.38,33.48
10.16,1.11,105.24,0.27,16701.8,1.36,33.78
9.92,1.1,103.47,0.27,16558.5,1.31,33.57
10.4,1.1,112.92,0.27,16735.5,1.3,33.51
10.5,1.1,111.75,0.27,16606.7,1.32,33.61
10.65,1.1,114.47,0.28,16612.6,1.27,33.51
10.3,1.1,108.85,0.28,16483.6,1.24,33.54
10.29,1.1,112.9,0.28,16261.5,1.26,33.28
10.29,1.11,105.13,0.28,15895.7,1.24,33.21
10.17,1.11,103.62,0.28,15694.4,1.23,33.4
10.2,1.1,95.34,0.28,15753.7,1.21,33.54
10.03,1.1,95.23,0.28,15929.6,1.21,33.45
9.9,1.09,102.28,0.28,15977.5,1.22,33.3
10.9,1.09,109.42,0.28,15708.2,1.21,33.14
10.53,1.1,105.99,0.28,16380.9,1.21,33.04
10.58,1.11,110.41,0.28,16069.2,1.22,33
11.46,1.09,120.67,0.29,16428,1.22,32.53
10.39,1.11,111.33,0.28,15996,1.24,32.71
10.26,1.11,107.12,0.29,16019.6,1.25,32.71
9.63,1.12,96.09,0.28,16215.6,1.25,32.63
9.27,1.12,94.99,0.28,16392.3,1.29,32.27
10,1.13,93.32,0.28,16492,1.23,32.42
9.48,1.13,92.52,0.28,16770.4,1.25,32.27
9.62,1.13,91.74,0.28,16531.3,1.23,32.11
9.87,1.14,91.75,0.28,16665,1.2,32.28
9.95,1.14,91.63,0.28,16856,1.16,32.44
8.87,1.13,90.9,0.28,16853.7,1.11,32.69
9.14,1.13,94.83,0.28,16722.8,1.17,32.71
8.74,1.14,93.91,0.28,16904.5,1.17,32.91
8.81,1.14,90,0.28,16829.7,1.19,33.02
8.44,1.14,89.86,0.29,16397.9,1.19,33.13
7.63,1.13,91.64,0.29,16152.1,1.21,33.18
7.68,1.13,87.98,0.29,16236.5,1.18,33.43
8.03,1.11,88.35,0.29,16340.3,1.17,33.31
8.07,1.11,87.45,0.29,16414,1.21,33.12
8.06,1.12,87.5,0.29,16397.3,1.22,33
8.39,1.13,87.15,0.29,16663.8,1.23,33
8.2,1.13,85.26,0.29,16819,1.27,32.96
8.53,1.13,84.15,0.29,16950.9,1.24,32.91
8.82,1.13,84.91,0.29,17219.1,1.26,32.92
8.92,1.13,84.57,0.29,17259,1.28,33.08
8.43,1.13,86.23,0.29,17353.8,1.27,33.09
8.34,1.14,86.61,0.29,17294.5,1.29,33.22
8.48,1.15,84.32,0.29,17119.6,1.32,33.3
8.36,1.14,81.73,0.29,17156.5,1.36,33.35
8.08,1.14,82.82,0.29,17112.6,1.36,33.63
7.55,1.13,81.38,0.29,17226.1,1.35,33.56
7.28,1.13,78.42,0.29,17164.1,1.35,33.21
7.11,1.13,79.62,0.29,17149.9,1.36,33.24
7.34,1.13,77.24,0.29,17134.2,1.34,33.24
7.16,1.14,76.02,0.29,17141.1,1.36,33.51
7.18,1.13,76.58,0.29,16963.4,1.35,33.54
7.19,1.13,76.04,0.29,16874.9,1.35,33.53
7.46,1.13,75.97,0.29,16744.3,1.36,33.44
7.31,1.13,73.38,0.29,16442.3,1.36,33.67
7.19,1.13,73.03,0.29,16668.6,1.35,33.68
7.12,1.13,71.27,0.3,16849.1,1.37,33.61
7.01,1.13,69.21,0.3,16813.6,1.37,33.34
7.11,1.12,70.07,0.3,16652.6,1.36,33.42
7.31,1.13,71.92,0.29,16719.6,1.38,33.42
6.75,1.13,71.48,0.29,16856.6,1.37,33.43
6.84,1.13,70.35,0.29,16780.5,1.34,33.39
6.89,1.13,71.12,0.29,16592,1.34,33.57
7.12,1.13,72.04,0.3,16475.2,1.36,33.58
7.34,1.13,71.86,0.3,16319,1.4,33.84
7.52,1.13,69.72,0.3,16684,1.37,33.88
7.18,1.13,67.5,0.3,16624.9,1.38,33.75
7.4,1.13,65.63,0.3,17036.8,1.38,33.72
7.05,1.13,67.01,0.3,17007.9,1.37,33.71
