Date,Dollar_Index,World_Gold_Price,Dow_Jones_Avg,Set_Index,Thai_Five_Bond,Thai_Ten_Bond,Oil_Price,Usd_Thb,Con_Index,Interest_Rate,Spx,Xag_Usd,Rhodium,Eur_Usd,Nyse,Bvn,Us_Five_Year,Us_Ten_Year,Copper,Palladium,Sales
พ.ค.17,96.92,"1,268.09","21,349.63","1,574.74",1.97,2.51,46.04,33.92,"2,423.41",16.57,"1,030",1.1423,"11,761.70",11.5,1.887,2.304,2.5865,830.65,98.04,1.5,"20,272.22"
เม.ย.17,99.05,"1,267.65","21,008.65","1,561.66",2.14,2.67,48.32,34.03,"2,411.80",17.29,920,1.1241,"11,598.00",12.44,1.753,2.206,2.6075,815.95,97.9,1.5,"20,602.38"
มี.ค.17,100.35,"1,248.63","20,940.51","1,566.32",2.19,2.74,49.33,34.58,"2,384.20",17.19,"1,005",1.0895,"11,536.10",12.01,1.819,2.289,2.66,826.45,97.74,1.5,"20,261.11"
ก.พ.17,101.12,"1,248.52","20,663.22","1,575.11",2.22,2.72,50.6,34.34,"2,362.72",18.22,"1,015",1.0649,"11,492.80",12.04,1.924,2.389,2.714,798.5,98.19,1.5,"20,365.22"
ม.ค.17,99.51,"1,210.51","20,812.24","1,559.56",2.2,2.69,54.01,34.93,"2,363.64",18.31,910,1.0575,"11,512.40",12.3,1.938,2.397,2.7335,771.7,98.15,1.5,"19,956.00"
ธ.ค.16,102.21,"1,151.46","19,864.09","1,577.31",2.265,2.755,52.81,35.08,"2,278.87",17.53,835,1.0795,"11,223.00",13.79,1.921,2.466,2.5055,755.4,97.99,1.5,"19,472.00"
พ.ย.16,101.5,"1,172.70","19,762.60","1,542.94",2.28,2.7,53.72,35.84,"2,238.83",15.93,760,1.0513,"11,056.90",11.28,1.934,2.446,2.6295,683.95,97.87,1.5,"20,661.54"
ต.ค.16,98.44,"1,277.28","19,123.58","1,510.24",2.14,2.73,49.44,35.69,"2,198.81",16.48,755,1.0585,"10,838.50",11.17,1.849,2.39,2.208,772.65,97.92,1.5,"21,000.00"
ก.ย.16,95.46,"1,315.80","18,142.42","1,495.72",1.95,2.14,46.86,35.02,"2,126.15",17.87,705,1.0979,"10,481.90",13.29,1.305,1.826,2.2105,619.9,97.77,1.5,"21,736.54"
ส.ค.16,96.02,"1,308.45","18,308.15","1,483.21",1.88,2.15,48.24,34.58,"2,168.27",19.15,675,1.1238,"10,721.70",13.84,1.149,1.598,2.075,722.95,97.73,1.5,"21,950.00"
ก.ค.16,95.53,"1,350.59","18,400.88","1,548.44",1.77,2.21,44.7,34.62,"2,170.95",18.61,655,1.1156,"10,764.80",12.36,1.194,1.578,2.225,669.95,97.77,1.5,"22,126.00"
มิ.ย.16,96.14,"1,321.78","18,432.24","1,524.07",1.66,2.09,41.6,34.76,"2,173.60",20.31,630,1.117,"10,785.50",14.65,1.022,1.45,2.1955,710.75,98.11,1.5,"21,205.77"
พ.ค.16,95.89,"1,214.69","17,929.99","1,444.99",1.65,1.98,48.33,35.1,"2,098.86",18.69,640,1.1104,"10,489.80",11.95,1.001,1.475,2.1,597.95,98.08,1.5,"21,026.00"
เม.ย.16,93.08,"1,293.36","17,787.20","1,424.28",1.94,2.34,49.1,35.76,"2,096.96",15.98,655,1.1129,"10,441.00",9.56,1.38,1.851,2.2835,547.35,97.53,1.5,"20,563.64"
มี.ค.16,94.59,"1,231.95","17,773.64","1,404.61",1.535,1.84,45.92,34.89,"2,065.30",17.82,730,1.1454,"10,436.90",10.15,1.294,1.835,2.188,628.6,97,1.5,"20,664.81"
ก.พ.16,98.21,"1,237.76","17,685.09","1,407.70",1.46,1.73,38.34,35.1,"2,059.74",15.42,730,1.1378,"10,207.40",7.36,1.206,1.77,2.1325,564.65,96.79,1.5,"20,077.08"
ม.ค.16,99.61,"1,117.64","16,516.50","1,332.37",1.61,2.12,33.75,35.61,"1,932.23",14.88,660,1.0871,"9,559.50",5.22,1.217,1.738,2.0705,495.65,96.65,1.5,"18,668.00"
ธ.ค.15,98.63,"1,060.91","16,466.30","1,300.98",1.725,2.34,33.62,35.71,"1,940.24",14.26,640,1.0834,"9,632.70",4,1.33,1.923,2.135,499,96.9,1.5,"18,182.00"
พ.ย.15,100.17,"1,064.02","17,425.03","1,288.02",1.965,2.52,37.04,36.02,"2,043.94",13.83,650,1.086,"10,143.40",4.28,1.758,2.269,2.046,562.25,97.28,1.5,"18,394.00"
ต.ค.15,96.95,"1,142.00","17,719.92","1,359.70",2.12,2.76,41.65,35.79,"2,080.41",14.09,730,1.0563,"10,409.60",4.74,1.646,2.208,2.3235,543.2,97.59,1.5,"19,465.38"
ก.ย.15,96.35,"1,114.60","17,663.54","1,394.94",2.145,2.68,46.59,35.59,"2,079.36",15.52,760,1.1005,"10,461.00",6.41,1.522,2.146,2.341,677.65,97.4,1.5,"19,100.00"
ส.ค.15,95.82,"1,134.10","16,284.70","1,349.00",2.16,2.78,45.09,36.36,"1,920.03",14.51,750,1.1176,"9,799.70",5.96,1.355,2.035,2.3385,651.25,97.45,1.5,"18,670.00"
ก.ค.15,97.34,"1,095.40","16,528.03","1,382.41",2.15,2.82,49.2,35.82,"1,972.18",14.6,805,1.1211,"10,176.50",6.32,1.548,2.214,2.369,602.25,97.66,1.5,"18,373.08"
มิ.ย.15,95.49,"1,172.20","17,689.86","1,440.12",2.19,2.82,47.12,34.99,"2,103.84",14.77,815,1.0987,"10,882.30",7.12,1.534,2.187,2.615,611.15,97.73,1.5,"18,820.00"
พ.ค.15,96.91,"1,189.75","17,619.51","1,504.55",2.14,2.96,59.47,33.79,"2,063.11",15.74,865,1.1135,"10,805.20",10.38,1.641,2.349,2.733,673.35,97.63,1.5,"18,954.17"
เม.ย.15,94.6,"1,183.85","18,010.68","1,496.05",2.03,2.81,60.3,33.69,"2,107.39",16.7,"1,060",1.0987,"11,056.30",11.2,1.485,2.123,2.8865,777.1,97.47,1.5,"18,395.45"
มี.ค.15,98.36,"1,183.10","17,840.52","1,526.74",1.95,2.46,59.63,33.01,"2,085.51",16.12,"1,135",1.1222,"11,049.70",11.18,1.43,2.035,2.741,777.5,97.45,1.75,"18,172.00"
ก.พ.15,95.32,"1,212.55","17,776.12","1,505.94",2.19,2.77,47.6,32.53,"2,067.89",16.62,"1,155",1.073,"10,899.20",10.13,1.372,1.927,2.6915,736.15,97.28,2,"18,902.08"
ม.ค.15,94.8,"1,282.80","18,132.70","1,587.01",2.32,2.88,49.76,32.35,"2,104.50",16.6,"1,170",1.1193,"11,062.80",11.58,1.5,1.997,2.4955,819.5,97.17,2,"19,307.69"
ธ.ค.14,90.27,"1,183.55","17,164.95","1,581.25",2.22,2.78,48.24,32.72,"1,994.99",17.22,"1,170",1.1286,"10,537.20",11.42,1.153,1.639,2.8255,773.15,97.74,2,"18,612.00"
พ.ย.14,88.36,"1,167.04","17,823.07","1,497.67",2.3,2.91,53.27,32.9,"2,058.90",15.66,"1,235",1.2097,"10,839.20",9.56,1.653,2.17,2.856,799,98.24,2,"18,210.00"
ต.ค.14,86.92,"1,173.92","17,828.24","1,593.91",2.36,3.08,66.15,32.85,"2,067.56",15.41,"1,200",1.245,"10,955.40",9.25,1.493,2.173,3.047,813.3,98.35,2,"18,734.62"
ก.ย.14,85.94,"1,208.74","17,390.52","1,584.16",2.69,3.36,80.54,32.58,"2,018.05",16.14,"1,230",1.2524,"10,845.00",9.2,1.61,2.335,3.0075,792.3,98.45,2,"18,850.00"
ส.ค.14,82.75,"1,287.07","17,042.90","1,585.67",2.91,3.36,91.16,32.42,"1,972.29",16.94,"1,300",1.2631,"10,702.90",11.58,1.763,2.495,3.153,775.55,98.62,2,"19,562.00"
ก.ค.14,81.46,"1,282.09","17,098.45","1,561.63",3.005,3.47,95.96,31.92,"2,003.37",19.43,"1,315",1.3132,"11,046.30",14.56,1.627,2.345,3.236,909.55,98.7,2,"19,876.00"
มิ.ย.14,79.78,"1,327.19","16,563.30","1,502.39",3.09,3.58,98.17,32.18,"1,930.67",20.35,"1,275",1.3388,"10,726.40",11.71,1.756,2.562,3.2035,874.05,98.78,2,"19,620.00"
พ.ค.14,80.37,"1,250.69","16,826.60","1,485.75",3.16,3.72,105.37,32.41,"1,960.23",20.97,"1,105",1.3691,"10,979.40",11.81,1.633,2.532,3.1205,843.1,98.89,2,"19,781.25"
เม.ย.14,79.47,"1,291.29","16,717.17","1,415.73",3.13,3.73,102.71,32.81,"1,923.57",18.68,"1,150",1.363,"10,756.30",10.69,1.539,2.475,3.0275,836.35,98.49,2,"19,791.67"
มี.ค.14,80.1,"1,283.64","16,580.84","1,414.94",3.06,3.61,99.74,32.34,"1,883.95",19.11,"1,070",1.3866,"10,627.20",13,1.677,2.646,3.0245,813.45,98,2,"20,423.08"
ก.พ.14,79.69,"1,325.79","16,457.66","1,376.26",3.17,3.69,101.58,32.39,"1,872.34",19.71,"1,120",1.377,"10,527.80",12.57,1.72,2.719,3.1875,777.8,97.8,2.25,"19,958.70"
ม.ค.14,81.31,"1,243.19","16,321.71","1,325.33",3.18,3.67,102.59,32.52,"1,859.45",21.19,"1,075",1.3802,"10,425.90",12.6,1.503,2.649,3.2,744.45,97.56,2.25,"19,325.00"
