Y,DJI,Set_One,GBP_THB,EURUSD,Oil,XAG,XAU_XAG,Rhodium,Copper,SP_FIVE,JPY_THB,BVN ,Set,NYSE,USD_THB,TenBond_THB
31950,33837.07,2012.25,44.82,1.1,71.89,22.7253,83.17,"3,990.00",3.7725,"4,415.55",0.2481,7.92,"1,481.91","15,748.90",35.11,2.47
31800,34171.39,2042.56,44.46,1.0887,71.8,23.1583,84.1,"3,990.00",3.789,"4,404.54",0.2445,7.7,"1,503.38","15,641.70",35.19,2.54
31850,34369.78,2046.5,44.76,1.0858,70.45,22.7785,82.88,"3,990.00",3.7425,"4,422.62",0.2419,7.65,"1,512.93","15,835.50",34.99,2.52
31800,34269.92,2019.01,44.97,1.0911,69.82,22.5711,84.29,"4,490.00",3.7615,"4,450.48",0.2443,7.32,"1,507.65","15,875.90",35.31,2.56
31750,33854.57,1990.16,44.97,1.0864,69.25,22.7211,84.51,"4,890.00",3.7655,"4,422.44",0.246,7.35,"1,488.86","15,737.40",35.64,2.5
31850,33881.38,2011.13,44.94,1.0914,68.01,22.8482,84,"4,990.00",3.6995,"4,374.94",0.2465,7.39,"1,468.00","15,617.40",35.57,2.52
32050,33739.03,2018.71,44.74,1.0961,69.49,22.7687,83.77,"5,190.00",3.729,"4,367.48",0.2451,7.15,"1,483.32","15,646.70",35.24,2.5
32050,33730.79,2036.12,44.78,1.091,69.84,22.445,84.44,"5,440.00",3.79,"4,337.36",0.2454,7.13,"1,488.17","15,518.70",35.19,2.52
32000,33835.66,2034.14,44.75,1.0897,69.53,22.2409,85.45,"5,490.00",3.8005,"4,344.84",0.2452,7.14,"1,504.27","15,469.30",35.24,2.46
32050,33900.47,2062.04,44.42,1.0957,72.43,22.6226,86.11,"5,590.00",3.8205,"4,354.17",0.2454,7.52,"1,504.50","15,600.70",35.13,2.39
32000,33990.56,2073.05,44.48,1.0986,70.9,23.2092,85.15,"5,940.00",3.9005,"4,355.40",0.2454,7.52,"1,524.35","15,657.00",34.81,2.37
31800,34206.66,2089.2,44.45,1.0916,71.45,23.935,83.63,"6,090.00",3.9045,"4,380.01",0.2464,7.56,"1,533.87","15,648.90",34.84,2.47
31800,34464.02,2113.98,44.22,1.0921,70.55,23.8748,81.34,"6,090.00",3.8925,"4,396.11",0.245,7.35,"1,545.43","15,795.10",34.76,2.47
