Y,Copper,Rhodium,SP,US_Five,US_Ten,DJI,Set,GBP_THB,JPY_THB,USD_THB,BVN ,EUR_USD,XAG_USD,THB_Five,THB_Ten,NYSE,SET,Oil
32250,3.79,4090,4513.96,4.1,4.12,35230.13,2125.57,44.64,0.24,35.03,7.81,1.0953,22.761,2.35,2.45,16125.4,1548.75,84.25
32250,3.78,4090,4494.27,4.16,4.01,35194.56,2090.51,44.54,0.24,34.84,7.65,1.1001,23.0783,2.37,2.48,16174.5,1527.12,82.88
32150,3.84,4090,4550.93,4.16,4.01,35551.92,2090.63,44.23,0.24,34.69,7.71,1.1018,23.652,2.36,2.52,16356.5,1527.41,82.53
32100,3.85,4090,4578.83,4.29,4.09,35585.99,2092.53,44.03,0.24,34.62,7.64,1.0946,23.58,2.39,2.52,16427.3,1529.17,82.82
32050,3.9,4090,4584.82,4.24,4.05,35465.97,2089.23,43.84,0.24,34.49,7.59,1.0938,23.725,2.47,2.52,16363.3,1529.41,81.73
32050,3.84,4090,4565.75,4.2,4.18,35443.49,2080.4,43.86,0.24,34.35,7.6,1.0983,24.3471,2.47,2.55,16270.6,1524.04,79.77
32000,3.91,4090,4598.26,4.18,4.09,35558.79,2096.98,43.94,0.24,34.22,7.68,1.0996,24.748,2.41,2.56,16418.2,1536.08,82.05
31900,4.02,4090,4558.96,4.19,4.01,35345.99,2100.31,44.03,0.24,34.26,7.82,1.1023,24.3352,2.52,2.47,16385.2,1537.68,81.73
31800,3.93,3990,4555.19,4.25,3.97,35421.49,2082.46,44.09,0.24,34.48,7.55,1.0978,24.1277,2.5,2.47,16369.1,1527.13,80.65
31750,3.85,3990,4543.39,4.12,3.96,35230.79,2077.24,44.26,0.24,34.2,7.42,1.1081,24.9163,2.52,2.47,16289.1,1521.39,79.84
31700,3.91,4040,4550.16,4.16,4.01,35274.32,2043.15,44.48,0.24,34.49,7.3,1.1053,24.6499,2.52,2.48,16263.7,1497.85,78.9
31650,3.93,4140,4554.38,4.15,3.88,35091.98,2032.56,44.32,0.24,34.53,7.73,1.1065,24.3728,2.6,2.42,16230.9,1491.05,79.34
31400,3.85,4240,4563.87,4.11,3.9,34991.21,2044.24,44.27,0.24,34.43,7.84,1.1127,24.62,2.6,2.42,16156.5,1500.97,78.85
31450,3.82,4340,4521.78,4.1,3.88,34597.08,2046.56,44.02,0.24,34.2,7.95,1.1133,24.7933,2.65,2.44,16054.2,1503.06,77.01
31500,3.83,4340,4508.86,3.99,3.85,34499.74,2030.3,44.05,0.24,34.04,7.7,1.12,25.1507,2.65,2.43,16040.2,1493.21,75.7
31650,3.82,4340,4514.61,4.01,3.85,34425.33,2012.25,44.45,0.24,34.07,8.02,1.1227,25.063,2.79,2.47,16106.8,1481.91,75.35
31700,3.83,4340,4491.5,4.01,3.75,34412.31,2042.56,45.26,0.24,34.61,7.92,1.1237,24.83,2.69,2.54,16011.3,1503.38,75.84
31800,3.84,4290,4467.69,4.03,3.79,34395.28,2053.79,45.34,0.24,34.65,7.7,1.1235,24.9253,2.49,2.52,15897.3,1512.93,74.18
31850,3.93,3990,4415.55,3.97,3.81,34056.94,2041.08,45.35,0.24,34.52,7.65,1.1227,24.8471,2.49,2.56,15748.9,1504.12,75.02
31750,3.95,3990,4394.23,4.07,3.82,33705.68,2046.5,45.03,0.24,34.67,7.46,1.1131,24.155,2.28,2.5,15671.6,1507.65,77.16
31750,3.85,3990,4404.54,4.22,3.78,33837.07,2019.01,44.98,0.24,34.78,7.32,1.1008,23.1925,2.36,2.52,15641.7,1488.86,75.85
31750,3.77,3990,4422.62,4.24,3.86,34171.39,1990.16,45.14,0.24,35.11,7.35,1.1,23.1774,2.49,2.5,15835.5,1468,74.83
31800,3.79,3990,4442.04,4.35,3.96,34344.72,2011.13,45.14,0.24,35.16,7.47,1.0971,23.0886,2.77,2.52,15918.5,1483.32,73.19
31800,3.78,3990,4450.48,4.35,4,34369.78,2018.71,44.82,0.24,35.19,7.39,1.0887,22.7253,2.68,2.46,15875.9,1488.17,73.86
31850,3.74,3990,4422.44,4.25,4.06,34269.92,2036.12,44.46,0.24,34.99,7.15,1.0858,23.1583,2.75,2.39,15737.4,1504.27,71.89
31850,3.76,4490,4374.94,4.16,4.03,33854.57,2034.14,44.37,0.24,34.9,7.13,1.0878,22.9583,2.69,2.37,15617.4,1504.5,71.8
31750,3.79,4890,4367.48,4.17,3.94,33881.38,2062.04,44.47,0.24,35.03,7.14,1.0911,22.9096,2.71,2.47,15646.7,1524.35,70.15
31750,3.79,4990,4337.36,4.17,3.84,33739.03,2073.05,44.76,0.24,35.31,7.52,1.0911,22.7785,2.33,2.47,15518.7,1533.87,70.08
31700,3.77,5190,4344.84,4.13,3.85,33730.79,2089.2,44.97,0.24,35.64,7.52,1.0864,22.5711,2.29,2.52,15469.3,1545.43,70.45
31600,3.7,5440,4354.17,3.97,3.85,33835.66,2103.45,44.97,0.24,35.57,7.56,1.0914,22.7211,1.54,2.52,15600.7,1554.81,69.82
31600,3.73,5490,4355.4,4.03,3.84,33900.47,2113.98,44.94,0.24,35.24,7.35,1.0961,22.8482,1.54,2.62,15657,1562.67,69.25
31750,3.79,5590,4380.01,3.96,3.71,33990.56,2106.53,44.74,0.25,35.19,7.5,1.091,22.7687,1.54,2.55,15648.9,1561.47,68.01
31700,3.8,5940,4396.11,3.98,3.76,34206.66,2115.54,44.78,0.24,35.24,7.44,1.0897,22.445,1.4,2.64,15795.1,1566.54,69.49
31700,3.82,6090,4440.95,4.03,3.72,34464.02,2094.39,44.75,0.24,35.13,7.4,1.0957,22.2409,1.39,2.74,15826.3,1553.11,69.84
31750,3.9,6090,4365.33,3.96,3.72,33945.98,2090,44.42,0.24,34.81,7.28,1.0986,22.6226,1.4,2.69,15642.7,1551.12,69.53
31900,3.9,6090,4366.29,3.96,3.79,34044.7,2102.36,44.48,0.24,34.84,7.28,1.0916,23.2092,1.54,2.93,15667.8,1558.94,72.43
31950,3.89,6090,4352.61,4.03,3.73,34111.08,2063.56,44.45,0.24,34.76,7.13,1.0921,23.935,1.49,3.05,15548.5,1533.56,70.9
31950,3.89,6090,4308.32,4.03,3.73,33906.8,2058.93,44.46,0.24,34.69,7,1.0942,24.1675,1.545,3.22,15499.9,1531.3,71.45
31900,3.87,6090,4304.88,3.91,3.82,33852.44,2069.61,44.22,0.24,34.61,7.55,1.0944,23.8748,1.53,3.12,15502.6,1537.62,71.47
31900,3.89,6190,4268.69,4,3.76,33656.98,2052.36,43.95,0.24,34.69,7.38,1.083,23.9443,1.57,3.16,15469.6,1526.87,71.59
31850,3.89,6190,4285.47,4,3.72,33562.47,2061.31,43.74,0.25,34.64,6.96,1.0792,23.6275,1.56,2.97,15391.8,1534.16,70.55
31750,3.87,6190,4271.34,3.89,3.79,33547.67,2048.29,43.33,0.25,34.64,6.87,1.0755,24.0613,1.49,3.11,15275.2,1525.58,68.7
31850,3.83,6290,4282.99,3.93,3.82,33771.13,2077.17,43.49,0.25,34.6,6.83,1.0751,24.2658,1.475,3.11,15345.2,1543.3,69.35
31850,3.75,6390,4241.01,3.86,3.74,33187.58,2065.94,43.49,0.25,34.63,7.04,1.0782,24.2941,1.48,3.12,15031.1,1535.63,67.31
31950,3.77,6390,4183.03,3.93,3.75,32929.85,2062.85,43.33,0.25,34.82,6.88,1.0699,23.4636,1.43,2.83,14887.1,1533.18,70.27
31950,3.79,6590,4190.74,3.82,3.72,32948.71,2069.57,43.21,0.25,34.79,6.59,1.0695,23.6194,1.37,2.83,14994.6,1537.55,70.94
32050,3.75,6890,4226.71,3.82,3.79,33103.65,2061.94,43.25,0.25,34.8,6.61,1.0714,23.555,1.37,2.7,15078.7,1530.61,72.47
31950,3.77,6890,4156.16,3.86,3.67,32795.5,2060.24,43.29,0.25,34.77,6.72,1.0712,23.5944,1.37,2.59,14976,1526.15,71.56
31800,3.76,6890,4155.71,3.7,3.69,32854.26,2028.44,43.33,0.25,34.58,6.93,1.0762,23.8785,1.31,2.45,15022.9,1505.21,71.99
31850,3.73,6890,4132.96,3.75,3.71,33021.76,2062.46,43.14,0.24,34.72,7.15,1.069,23.5455,1.37,2.45,15172.3,1529.15,75.03
31950,3.71,6890,4176.8,3.82,3.61,33190.6,2063.87,43.1,0.24,34.71,7.05,1.0736,23.2094,1.37,2.47,15318.8,1531.15,70.21
31900,3.67,6990,4190.78,3.92,3.64,33408.54,2080.24,42.89,0.24,34.72,7.01,1.0707,23.1723,0.98,2.45,15324.3,1541.29,67.6
31800,3.66,6990,4204.15,3.93,3.69,33582.95,2080.94,42.91,0.24,34.76,6.99,1.0726,23.25,0.99,2.51,15345.4,1541.11,69.62
31750,3.68,6990,4157.68,3.92,3.77,33374.56,2122.8,42.76,0.24,34.71,7,1.0722,22.7351,0.96,2.57,15313.9,1570.62,73.23
31800,3.67,6890,4122.85,3.78,3.82,33092.48,2111.34,42.84,0.24,34.65,7.01,1.075,23.081,0.95,2.35,15129.3,1565.66,73.22
31850,3.67,6890,4127.95,3.75,3.82,33275.37,2122.9,42.96,0.25,34.61,7,1.0775,23.4533,0.97,2.38,15322.6,1571.21,73.11
31850,3.59,6990,4126.65,3.77,3.82,33321.21,2112.03,42.87,0.25,34.47,7.08,1.0812,23.6668,1,2.46,15246.4,1562.66,71.89
31950,3.56,7290,4138.54,3.72,3.74,33370.58,2113.93,42.7,0.25,34.37,7,1.0814,23.8571,1,2.49,15263.1,1561.76,74.21
32050,3.64,7490,4132.24,3.69,3.7,33383.89,2085.19,42.72,0.25,34.42,7.02,1.0771,23.4699,0.98,2.409,15349.2,1541.51,73.77
32050,3.68,7440,4143.74,3.58,3.72,33707.2,2055.01,42.77,0.25,34.27,7.19,1.084,23.69,0.99,2.44,15352.8,1521.17,72.1
32000,3.73,7390,4124.25,3.53,3.67,33589.85,2065.68,42.6,0.25,34.06,7.1,1.0862,23.7367,0.98,2.44,15391.3,1531.92,71.7
32050,3.7,7590,4136.98,3.47,3.65,33715.15,2071.26,42.33,0.25,33.79,7.24,1.0874,24.143,0.96,2.49,15380.9,1536.28,71.94
32000,3.75,7840,4084.73,3.45,3.56,33248.55,2077.18,42.27,0.25,33.93,7.15,1.0856,23.915,0.96,2.55,15117.7,1539.28,72.75
31950,3.66,7840,4082.55,3.35,3.55,33347.78,2084.78,42.34,0.25,33.85,7.28,1.0916,24.1504,0.96,2.55,15233.8,1543.29,70.6
31800,3.74,7940,4122.25,3.39,3.51,33726.64,2100.4,42.5,0.25,33.65,7.23,1.0981,25.4813,0.95,2.53,15314.6,1557.8,71.32
31800,3.72,8040,4164.1,3.5,3.46,34017.62,2096.01,42.56,0.24,33.72,6.95,1.0961,25.5982,0.99,2.53,15535.9,1555.76,70.04
