Y,BVN,EUR_USD,JPY_THB,NYSE,TenBond_THB,USD_THB,Oil_Crud
29850.00,8.25,1.06,0.27,14931.10,1.80,34.64,113.87
30000.00,7.89,1.05,0.27,15057.90,1.83,34.52,106.65
30400.00,7.72,1.05,0.27,16119.60,1.81,34.72,105.63
30350.00,7.79,1.04,0.27,15729.50,1.81,34.75,102.65
30500.00,6.97,1.04,0.27,16032.70,1.79,34.58,110.43
30550.00,7.80,1.06,0.27,15741.80,1.83,34.04,107.58
30800.00,9.62,1.06,0.26,15694.20,1.69,34.37,105.17
30600.00,9.60,1.05,0.26,16054.80,1.76,34.46,102.11
30850.00,9.23,1.05,0.26,16056.90,1.78,34.34,101.76
30650.00,8.85,1.06,0.27,16499.30,1.91,34.31,98.64
30950.00,8.86,1.06,0.27,16761.30,1.79,34.14,101.38
31200.00,9.01,1.07,0.27,16658.90,1.78,33.96,104.07
31200.00,9.08,1.08,0.26,16466.20,1.78,33.91,102.50
31100.00,9.72,1.08,0.26,16511.50,1.68,33.78,103.05
31500.00,10.47,1.09,0.26,16690.00,1.66,33.80,107.75
31500.00,10.39,1.08,0.26,16631.50,1.61,33.69,107.03
30750.00,10.90,1.08,0.27,16830.90,1.55,33.63,98.40
30550.00,11.14,1.08,0.27,16787.80,1.51,33.59,97.17
30450.00,10.96,1.09,0.27,16670.90,1.51,33.49,97.16
30500.00,10.26,1.09,0.27,16932.80,1.43,33.46,103.66
30350.00,10.32,1.10,0.27,17014.80,1.39,33.29,98.95
30500.00,10.14,1.11,0.27,16798.70,1.39,33.35,101.23
30300.00,9.89,1.12,0.27,16792.80,1.38,33.48,107.45
30400.00,10.16,1.11,0.27,16701.80,1.36,33.78,105.24
30700.00,9.92,1.10,0.27,16558.50,1.31,33.57,103.47
30950.00,10.40,1.10,0.27,16735.50,1.30,33.51,112.92
30950.00,10.50,1.10,0.27,16606.70,1.32,33.61,111.75
30850.00,10.65,1.10,0.28,16612.60,1.27,33.51,114.47
30350.00,10.30,1.10,0.28,16483.60,1.24,33.54,108.85
30700.00,10.29,1.10,0.28,16261.50,1.26,33.28,112.90
30400.00,10.29,1.11,0.28,15895.70,1.24,33.21,105.13
30450.00,10.17,1.11,0.28,15694.40,1.23,33.40,103.62
30350.00,10.20,1.10,0.28,15753.70,1.21,33.54,95.34
30300.00,10.03,1.10,0.28,15929.60,1.21,33.45,95.23
30750.00,9.90,1.09,0.28,15977.50,1.22,33.30,102.28
31100.00,10.90,1.09,0.28,15708.20,1.21,33.14,109.42
31200.00,10.53,1.10,0.28,16380.90,1.21,33.04,105.99
30800.00,10.58,1.11,0.28,16069.20,1.22,33.00,110.41
30850.00,11.46,1.09,0.29,16428.00,1.22,32.53,120.67
29600.00,10.39,1.11,0.28,15996.00,1.24,32.71,111.33
29800.00,10.26,1.11,0.29,16019.60,1.25,32.71,107.12
29300.00,9.63,1.12,0.28,16215.60,1.25,32.63,96.09
29450.00,9.27,1.12,0.28,16392.30,1.29,32.27,94.99
29400.00,10.00,1.13,0.28,16492.00,1.23,32.42,93.32
29150.00,9.48,1.13,0.28,16770.40,1.25,32.27,92.52
29050.00,9.62,1.13,0.28,16531.30,1.23,32.11,91.74
29050.00,9.87,1.14,0.28,16665.00,1.20,32.28,91.75
28600.00,9.95,1.14,0.28,16856.00,1.16,32.44,91.63
28400.00,8.87,1.13,0.28,16853.70,1.11,32.69,90.90
28550.00,9.14,1.13,0.28,16722.80,1.17,32.71,94.83
28550.00,8.74,1.14,0.28,16904.50,1.17,32.91,93.91
28200.00,8.81,1.14,0.28,16829.70,1.19,33.02,90.00
28300.00,8.44,1.14,0.29,16397.90,1.19,33.13,89.86
28300.00,7.63,1.13,0.29,16152.10,1.21,33.18,91.64
28300.00,7.68,1.13,0.29,16236.50,1.18,33.43,87.98
28250.00,8.03,1.11,0.29,16340.30,1.17,33.31,88.35
28250.00,8.07,1.11,0.29,16414.00,1.21,33.12,87.45
28300.00,8.06,1.12,0.29,16397.30,1.22,33.00,87.50
28450.00,8.39,1.13,0.29,16663.80,1.23,33.00,87.15
28700.00,8.20,1.13,0.29,16819.00,1.27,32.96,85.26
28650.00,8.53,1.13,0.29,16950.90,1.24,32.91,84.15
28600.00,8.82,1.13,0.29,17219.10,1.26,32.92,84.91
28600.00,8.92,1.13,0.29,17259.00,1.28,33.08,84.57
28550.00,8.43,1.13,0.29,17353.80,1.27,33.09,86.23
