Y,BVN,JPY_THB,NYSE,Oil,Thai_Ten,USD_THB
29750.00,7.65,0.26,14527.90,96.39,3.00,35.94
29650.00,7.49,0.26,15096.70,96.57,2.93,35.71
29700.00,7.84,0.26,15472.50,95.89,2.83,35.59
29650.00,7.73,0.26,15843.80,103.46,2.93,35.31
29250.00,8.13,0.26,16019.60,104.79,2.93,35.20
29250.00,8.26,0.26,15848.50,102.22,3.02,35.18
29300.00,8.34,0.26,15797.20,98.22,3.08,35.37
29300.00,8.72,0.26,15960.50,100.36,3.18,35.50
29450.00,8.80,0.26,15709.60,108.80,3.20,35.50
29300.00,8.94,0.26,15827.00,108.17,3.13,35.39
29200.00,8.57,0.26,15942.60,108.67,3.08,35.33
29200.00,9.08,0.26,15664.00,106.01,3.15,35.34
29150.00,8.90,0.26,15412.20,109.70,3.28,35.26
29250.00,8.47,0.26,15290.40,111.86,3.28,35.03
29100.00,8.47,0.25,15343.00,110.18,3.28,34.81
29400.00,8.45,0.25,15081.00,107.22,3.23,35.02
29500.00,8.60,0.26,15035.90,103.99,3.30,34.90
29550.00,8.25,0.26,15044.50,104.42,3.45,34.75
29500.00,7.89,0.25,15541.90,109.54,3.38,34.56
29550.00,7.72,0.25,15259.80,110.58,3.17,34.52
29500.00,7.79,0.25,15257.40,108.97,3.06,34.42
29550.00,7.31,0.25,14931.10,108.97,3.03,34.38
29550.00,6.97,0.25,14902.10,117.08,2.99,34.34
29600.00,7.06,0.25,15025.70,115.98,3.04,34.25
29650.00,7.76,0.26,15057.90,119.07,2.94,34.36
29650.00,7.80,0.26,15566.60,121.09,2.92,34.33
29550.00,8.23,0.26,15652.60,120.19,2.91,34.08
29600.00,8.70,0.26,16119.60,121.46,2.86,34.13
29750.00,9.62,0.26,15729.50,122.43,2.81,34.24
29800.00,9.60,0.26,15609.30,119.79,2.82,34.28
29700.00,9.34,0.26,15615.30,119.10,2.75,34.10
29750.00,9.12,0.26,16032.70,120.82,2.74,34.15
29750.00,9.23,0.26,15741.80,117.55,2.76,34.42
29750.00,8.85,0.26,15694.20,114.80,2.84,34.46
29800.00,8.86,0.26,16054.80,115.40,2.81,34.64
29700.00,9.01,0.26,16056.90,114.96,2.85,34.52
29600.00,9.08,0.26,16499.30,115.58,2.86,34.72
29600.00,9.72,0.26,16761.30,115.30,2.99,34.75
29700.00,10.47,0.26,16658.90,114.20,2.89,34.75
29650.00,10.39,0.26,16466.20,110.69,2.94,34.64
29700.00,10.90,0.26,16511.50,110.39,2.86,34.61
29850.00,11.14,0.26,16614.80,110.41,2.91,34.58
30000.00,10.62,0.26,16466.00,110.56,2.99,34.35
30000.00,10.57,0.27,16534.20,111.45,3.03,34.35
29800.00,10.68,0.27,16690.00,109.09,3.14,34.04
29850.00,10.96,0.26,16631.50,113.66,3.05,34.37
29950.00,10.26,0.26,16587.10,113.87,2.96,34.46
29900.00,9.93,0.27,16645.00,110.98,3.00,34.25
30000.00,9.80,0.26,16830.90,106.65,2.99,34.46
30000.00,10.03,0.26,16787.80,105.63,2.93,34.34
30200.00,10.32,0.26,16670.90,99.00,2.85,34.31
30200.00,10.14,0.26,16932.80,102.65,2.83,34.14
30150.00,9.89,0.27,17014.80,110.43,2.74,33.96
30250.00,10.16,0.27,16798.70,108.70,2.82,33.91
30200.00,9.92,0.27,16792.80,107.58,2.89,33.78
30200.00,10.40,0.27,16701.80,103.50,2.93,33.80
30100.00,10.50,0.27,16558.50,105.08,2.84,33.69
30000.00,10.65,0.27,16735.50,104.00,2.96,33.63
29800.00,10.30,0.27,16606.70,105.17,2.85,33.69
29850.00,10.29,0.27,16612.60,102.11,2.85,33.52
29850.00,10.29,0.27,16483.60,101.76,2.70,33.57
29850.00,10.17,0.27,16261.50,98.64,2.73,33.61
29800.00,10.20,0.27,15895.70,101.38,2.80,33.59
29450.00,10.03,0.27,15694.40,104.07,2.72,33.49
29600.00,9.90,0.27,15753.70,102.50,2.65,33.60
29650.00,10.90,0.27,15929.60,103.05,2.59,33.54
29600.00,10.53,0.26,15977.50,107.75,2.57,33.47
29600.00,10.58,0.27,15625.90,107.03,2.39,33.46
29650.00,10.84,0.26,15708.20,104.20,2.41,33.29
29650.00,11.46,0.26,16129.70,100.91,2.35,33.35
29600.00,11.30,0.26,16287.50,95.17,2.35,33.48
29750.00,10.72,0.26,16380.90,98.40,2.40,33.78
29700.00,10.39,0.26,16069.20,97.17,2.44,33.57
