Y,BOND10THB,OIL,SET,USD_THB,XAU_USD
28050,1.74,66.68,1590.44,31.3,1897.05
28050,1.72,65.93,1570.5,31.25,1896.49
27800,1.735,65.76,1562.89,31.34,1880.69
28000,1.75,63.61,1555.23,31.38,1882.34
27800,1.76,61.73,1559.82,31.37,1876.84
27800,1.74,63.35,1565.39,31.41,1869.74
27800,1.69,65.3,1561.97,31.43,1869.59
27800,1.67,66.31,1559.93,31.49,1866.59
27500,1.67,65.44,1542.23,31.36,1843.84
27050,1.7,63.84,1555.72,31.36,1826.49
27000,1.69,65.78,1554.1,31.29,1815.9
27050,1.695,65.44,1576.66,31.16,1837.4
27000,1.69,64.94,1579.25,31.11,1834.58
26950,1.68,65.25,1596.61,31.09,1833.24
26800,1.65,64.86,1582.25,31.24,1815.48
26350,1.65,65.26,1553.27,31.13,1787.09
26300,1.65,66.2,1581.86,31.18,1778.91
26150,1.7,64.76,1591.12,31.19,1772.9
26450,1.71,63.59,1584.55,31.35,1780.9
26350,1.72,62.92,1565.7,31.35,1776.8
26450,1.66,61.8,1564.06,31.43,1780.42
26450,1.68,62.03,1552.05,31.42,1776.34
26600,1.73,61.56,1563.46,31.39,1784.33
26600,1.72,61.05,1585.91,31.32,1794.15
26400,1.74,62.33,1576.19,31.28,1778.64
26150,1.73,63.53,1574.38,31.23,1770.3
26250,1.74,63.01,1555.01,31.21,1779.5
26050,1.72,63.35,1543.59,31.17,1763.84
25950,1.76,59.43,1561.53,31.45,1743.8
26100,1.71,59.78,1562.2,31.41,1756.54
25800,1.76,59.56,1554.64,31.37,1737.84
25750,1.765,59.28,1566.11,31.3,1742.96
25600,1.79,61.48,1599.33,31.31,1728.74
25300,1.79,59.48,1594.01,31.25,1708.09
25000,1.78,60.4,1592.26,31.31,1685.59
25300,1.75,61.92,1589.68,31.2,1712.55
25550,1.75,60.94,1582.73,31.12,1732.15
25550,1.72,58.44,1577.47,31.15,1727.3
25500,1.72,60.8,1576.27,31.01,1735.65
25400,1.68,57.42,1557.5,31,1727.8
25400,1.76,61.18,1572.7,30.87,1739.05
25400,1.8,61.6,1563.56,30.82,1745.74
25350,1.83,59.65,1562.3,30.885,1735.9
25450,1.81,64.44,1579.72,30.7,1745.09
25250,1.81,64.87,1562.92,30.76,1730.61
25200,1.79,65.34,1569.01,30.74,1730.57
25150,1.83,65.56,1573.11,30.72,1727.74
24950,1.69,65.95,1579.71,30.55,1721.59
25100,1.76,64.62,1582.69,30.69,1726.55
24950,1.78,63.81,1553.27,30.73,1715.94
24700,1.91,64.6,1553,30.81,1682.55
24800,1.79,66.5,1559.17,30.52,1702.8
24500,1.78,63.94,1531.05,30.41,1698.59
24700,1.78,60.93,1535.76,30.34,1711.84
24900,1.68,59.4,1510.27,30.25,1738.59
24650,1.655,60.04,1503.91,30.23,1724.1
25200,1.65,61.42,1493.55,30.46,1733.4
25600,1.61,63.22,1508.82,30.05,1804.8
25750,1.545,61.07,1503.56,30.03,1805.34
25700,1.51,61.9,1487.53,30,1809.09
25400,1.51,58.93,1504.65,29.97,1782.24
25200,1.43,60.18,1504.98,30.01,1776.19
25500,1.39,61.71,1519.79,30,1776.69
25500,1.39,60.28,1519.74,29.95,1794.65
25800,1.38,59.83,1528.43,29.9,1819.34
25850,1.36,60.36,1515.91,29.89,1825.34
26050,1.31,58.26,1520.68,29.91,1842.65
26050,1.3,58.33,1526.34,29.92,1837.55
26050,1.315,57.99,1524.58,29.99,1830.59
25800,1.27,56.95,1508.45,30.08,1815.44
25650,1.24,56.32,1491.07,30.09,1792.49
26000,1.255,55.8,1486.5,30.02,1834.34
26200,1.255,54.96,1498.5,30.01,1837.49
26400,1.235,53.35,1491.02,29.99,1860.84
26250,1.23,51.9,1465.76,29.88,1863.05
26200,1.205,52.03,1478.76,29.98,1840.9
26150,1.205,52.54,1482.5,30.01,1844.34
26200,1.215,52.67,1510.68,29.97,1850.65
26350,1.21,52.81,1497.03,29.99,1855.55
26350,1.205,52.08,1498.36,29.99,1855.75
26450,1.22,53.01,1508.92,29.93,1870.09
26500,1.22,52.81,1525.63,29.97,1871.07
26250,1.24,53.06,1524.91,29.99,1840.05
26250,1.25,52,1519.37,30.12,1838.09
26050,1.25,52.2,1511.04,30.07,1828.94
26300,1.29,53.77,1537.03,29.99,1846.8
26250,1.23,52.89,1545.35,30.02,1843.94
26450,1.25,53.34,1548.3,30.05,1856.19
26400,1.23,52.19,1536.75,30.15,1845.34
26150,1.21,52.55,1539.79,30.11,1849.34
27250,1.23,50.9,1528.12,30.05,1912.9
27200,1.2,50.55,1510.64,29.94,1919.4
27600,1.16,49.93,1506.56,29.92,1950.3
27400,1.11,47.54,1467.89,29.9,1942.65
27150,1.17,48.49,1428.8,29.99,1906.05
26750,1.165,48.26,1467.74,30.06,1878.34
26750,1.19,47.87,1452.39,30.18,1872.24
27000,1.19,48.39,1505.15,30.03,1885.93
26850,1.18,48.2,1420.6,30.2,1872.74
26650,1.17,46.93,1422.59,30.22,1859.99
26800,1.205,48,1405.42,30.09,1876.65
26900,1.22,49.26,1429.5,29.83,1883.2
26550,1.225,48.57,1485.27,29.79,1885.8
26450,1.265,48.07,1487.7,30.03,1864.26
26350,1.235,47.77,1487.28,30.05,1853.94
26100,1.255,47.18,1468.22,30.1,1827.8
26200,1.28,46.92,1491.87,30.08,1839.3
26550,1.265,45.75,1490.77,30.04,1871.19
26600,1.29,45.82,1448.08,30.16,1863.55
26250,1.315,45.76,1439.82,30.19,1841.05
26150,1.355,45.14,1424.16,30.21,1831.34
25950,1.36,44.54,1416.58,30.25,1815.19
25550,1.345,45.25,1418.06,30.28,1777.4
25600,1.35,45.57,1429.99,30.34,1789.05
26000,1.355,46.12,1431.26,30.29,1811.09
26000,1.34,45.77,1420.96,30.29,1805.74
26050,1.36,45.05,1416.84,30.34,1807.69
26350,1.345,43.04,1429.44,30.35,1836.65
26850,1.35,42.64,1397.53,30.3,1869.84
26800,1.355,41.88,1369.96,30.37,1867.59
26900,1.355,41.87,1363.58,30.31,1871.44
26900,1.35,41.55,1345.76,30.16,1878.6
27000,1.365,41.65,1356.41,30.2,1889.15
27100,1.37,40.44,1360.94,30.17,1888.74
26950,1.36,41.21,1330.49,30.22,1876.44
26800,1.38,41.72,1340.43,30.33,1865.3
27000,1.38,42.08,1353.65,30.36,1877.34
27100,1.37,40.19,1330.14,30.58,1862.15
28300,1.34,37.64,1281.41,30.63,1954.65
28250,1.335,38.82,1265.84,30.76,1949.24
28000,1.36,39.42,1234.61,30.99,1903.65
28000,1.4,38.46,1223.67,31.03,1908.59
27900,1.37,37.37,1210.06,31.12,1895.8
27750,1.375,35.5,1196.64,31.16,1878.59
27700,1.375,36.41,1204.05,31.22,1868.24
27800,1.37,37.76,1200.43,31.27,1876.94
28200,1.36,39.3,1207.42,31.23,1908.05
28250,1.36,38.95,1201.45,31.27,1902.19
28200,1.38,39.98,1212.49,31.32,1902.34
28300,1.37,40.31,1214.63,31.19,1924.34
28300,1.395,41.45,1217.1,31.23,1908.65
28100,1.385,40.93,1205.33,31.2,1904.24
28100,1.38,40.92,1221.88,31.18,1899.94
28150,1.375,41.16,1245.4,31.22,1907.95
28000,1.365,41.43,1255.05,31.145,1900.31
28000,1.365,40.49,1269.49,31.27,1891.9
28300,1.375,40.72,1269.5,31.04,1930.5
28100,1.365,41.6,1279.79,31.21,1894.19
27900,1.365,40.23,1269.85,31.24,1887.4
27900,1.375,40.12,1248.25,31.25,1878.84
28300,1.38,39.62,1251.89,31.3,1913.28
28350,1.37,37.34,1245.79,31.58,1902.24
28400,1.355,38.92,1245.11,31.56,1905.65
28250,1.35,40.15,1244.23,31.61,1885.8
28400,1.35,39.43,1259.08,31.615,1897.81
28300,1.35,40.84,1266.77,31.67,1881.4
27900,1.34,40.24,1251.23,31.65,1859
27850,1.355,40.35,1251.67,31.59,1868.61
27900,1.34,39.87,1255.79,31.57,1863.42
28300,1.36,40.03,1271.19,31.39,1900.2
28400,1.32,39.84,1271.36,31.295,1912.8
28650,1.32,41.19,1293.77,31.12,1949.55
28750,1.36,41.2,1287.74,31.19,1943.87
28750,1.335,40.41,1289.6,31.1,1959.99
28900,1.32,38.65,1287.01,31.19,1956.19
28950,1.31,37.6,1276.93,31.3,1957.31
28850,1.33,37.6,1285.16,31.31,1941.05
28850,1.39,37.34,1290.16,31.31,1955.2
28750,1.44,38.16,1295.01,31.26,1946.06
28650,1.43,37.18,1279.24,31.41,1932.26
28650,1.445,39.86,1305.64,31.39,1929.14
28850,1.43,41.96,1320.63,31.34,1943
29050,1.45,43.35,1304.7,31.16,1969.71
29100,1.45,43.12,1312.75,31.08,1967.58
28900,1.45,43.3,1328.7,31.1,1965.39
28650,1.49,43.27,1335.3,31.3,1929.44
28750,1.415,43.78,1322.48,31.27,1953.35
28650,1.4,43.74,1317.74,31.46,1928.66
28850,1.35,42.71,1324.81,31.49,1932.66
28850,1.325,42.72,1305.22,31.57,1938.63
28950,1.33,43.01,1305.82,31.41,1946.96
28850,1.34,42.95,1296.37,31.28,1929.28
