Y,DJI,Set_One,GBP_THB,EURUSD,Oil,XAG,XAU_XAG,Rhodium,SP_FIVE,JPY_THB,BVN ,Set,NYSE,USD_THB,TenBond_THB
31000.00,32872.08,2155.19,41.51,1.06,77.32,20.08,91.17,9840.00,3912.77,0.26,8.05,1606.13,15140.80,34.98,2.71
30550.00,33428.31,2169.94,41.47,1.05,80.50,21.04,90.25,10090.00,3987.55,0.26,8.15,1613.29,15439.00,35.10,2.75
30250.00,33076.33,2171.57,41.60,1.07,77.89,20.90,87.73,9840.00,4048.26,0.25,8.01,1614.31,15694.30,34.47,2.21
30050.00,32780.97,2173.46,41.76,1.06,77.74,21.00,87.76,9390.00,3998.02,0.25,8.04,1618.97,15524.50,34.82,2.21
30150.00,32656.37,2181.14,42.35,1.07,76.85,20.91,87.55,9390.00,3938.68,0.25,8.29,1627.18,15436.30,34.71,2.09
30150.00,32873.47,2193.64,42.24,1.06,75.76,20.63,87.41,10190.00,3963.34,0.26,8.63,1633.81,15429.00,35.23,2.15
30100.00,32906.16,2192.17,41.77,1.06,76.42,20.80,88.08,10690.00,3977.19,0.26,8.29,1633.16,15492.90,35.01,2.15
30250.00,32999.19,2221.28,41.69,1.05,75.60,21.32,87.24,11140.00,3992.36,0.26,7.75,1653.12,15464.50,34.96,2.13
30000.00,33175.39,2227.35,41.73,1.06,73.92,21.51,85.51,11440.00,3973.24,0.26,7.40,1657.78,15584.90,34.69,2.18
29950.00,33169.33,2239.49,41.92,1.06,76.11,21.83,84.82,11540.00,4018.60,0.26,7.42,1665.60,15530.80,34.62,2.20
29900.00,33699.69,2233.39,41.41,1.06,76.53,21.78,83.97,11540.00,4001.83,0.26,7.30,1659.70,15572.50,34.60,2.10
29850.00,33677.01,2227.16,41.19,1.07,78.07,21.60,84.48,11540.00,4052.35,0.26,7.46,1654.87,15840.20,34.39,2.09
30000.00,33992.09,2225.77,41.23,1.07,78.54,21.64,85.26,12090.00,4077.39,0.26,7.70,1653.85,15873.80,34.37,2.07
29950.00,34008.63,2218.23,41.25,1.07,78.83,21.86,84.91,12090.00,4114.75,0.26,7.45,1651.19,16016.10,34.27,2.03
29800.00,34194.09,2238.32,41.03,1.07,79.06,21.97,84.83,12090.00,4119.50,0.25,7.24,1667.97,16025.10,33.89,2.00
29700.00,33887.39,2225.02,40.65,1.07,79.94,22.00,84.29,12090.00,4126.70,0.26,7.24,1661.37,16052.30,33.81,1.95
29750.00,33671.54,2232.94,40.72,1.07,77.68,21.98,85.01,12090.00,4096.62,0.26,7.21,1665.85,15910.70,33.71,1.95
29650.00,34132.90,2256.68,40.41,1.07,77.49,22.19,84.90,12040.00,4068.92,0.26,7.34,1683.53,15828.60,33.59,1.99
29650.00,33874.44,2261.61,40.22,1.07,73.23,22.34,84.30,12040.00,4153.47,0.26,7.41,1686.01,16021.60,33.54,1.88
29600.00,33926.30,2258.91,40.36,1.08,75.92,23.47,83.75,12040.00,4119.57,0.25,7.47,1684.33,15999.40,33.44,1.99
29700.00,34129.30,2266.46,40.61,1.09,76.79,23.98,81.59,11990.00,4136.69,0.26,7.75,1689.16,16122.60,33.01,1.99
29700.00,34039.60,2247.99,40.47,1.10,79.06,23.73,81.20,11990.00,4158.68,0.25,7.64,1681.66,16121.30,32.82,1.99
